ICD10CMCODE,DiagnosisDesc,TotalDiag,PrimaryDiag,SecondDiag
S14.152S,"OTH INCOMPLETE LESION AT C2, SEQUELA",10,1,9
S14.153A,"OTH INCOMPLETE LESION AT C3, INIT",44,15,29
S14.153D,"OTH INCOMPLETE LESION AT C3, SUBS",24,11,13
S14.153S,"OTH INCOMPLETE LESION AT C3, SEQUELA",23,2,21
S14.154A,"OTH INCOMPLETE LESION AT C4, INIT",47,16,31
S14.154D,"OTH INCOMPLETE LESION AT C4, SUBS",43,19,24
S14.154S,"OTH INCOMPLETE LESION AT C4, SEQUELA",38,4,34
S14.155A,"OTH INCOMPLETE LESION AT C5, INIT",55,23,32
S14.155D,"OTH INCOMPLETE LESION AT C5, SUBS",26,11,15
S14.155S,"OTH INCOMPLETE LESION AT C5, SEQUELA",52,2,50
S14.156A,"OTH INCOMPLETE LESION AT C6, INIT",47,14,33
S14.156D,"OTH INCOMPLETE LESION AT C6, SUBS",25,9,16
S14.156S,"OTH INCOMPLETE LESION AT C6, SEQUELA",29,,29
S14.157A,"OTH INCOMPLETE LESION AT C7, INIT",31,10,21
S14.157D,"OTH INCOMPLETE LESION AT C7, SUBS",13,5,8
S14.157S,"OTH INCOMPLETE LESION AT C7, SEQUELA",25,2,23
S14.158A,"OTH INCOMPLETE LESION AT C8, INIT",3,,3
S14.158D,"OTH INCOMPLETE LESION AT C8, SUBS",4,1,3
S14.158S,"OTH INCOMPLETE LESION AT C8, SEQUELA",3,1,2
S14.159A,"OTH INCMPL LESION AT UNSP LEVEL OF CERV SPINAL CORD, INIT",18,5,13
S14.159D,"OTH INCMPL LESION AT UNSP LEVEL OF CERV SPINAL CORD, SUBS",11,4,7
S14.159S,"OTH INCMPL LESION AT UNSP LEVEL OF CERV SPINAL CORD, SEQUELA",32,1,31
S14.2XXA,"INJURY OF NERVE ROOT OF CERVICAL SPINE, INITIAL ENCOUNTER",30,11,19
S14.2XXD,"INJURY OF NERVE ROOT OF CERVICAL SPINE, SUBSEQUENT ENCOUNTER",1,,1
S14.2XXS,"INJURY OF NERVE ROOT OF CERVICAL SPINE, SEQUELA",10,,10
S14.3XXA,"INJURY OF BRACHIAL PLEXUS, INITIAL ENCOUNTER",259,57,202
S14.3XXD,"INJURY OF BRACHIAL PLEXUS, SUBSEQUENT ENCOUNTER",61,7,54
S14.3XXS,"INJURY OF BRACHIAL PLEXUS, SEQUELA",31,4,27
S14.4XXA,"INJURY OF PERIPHERAL NERVES OF NECK, INITIAL ENCOUNTER",3,1,2
S14.4XXS,"INJURY OF PERIPHERAL NERVES OF NECK, SEQUELA",1,,1
S14.5XXA,"INJURY OF CERVICAL SYMPATHETIC NERVES, INITIAL ENCOUNTER",11,2,9
S14.5XXD,"INJURY OF CERVICAL SYMPATHETIC NERVES, SUBSEQUENT ENCOUNTER",1,,1
S14.5XXS,"INJURY OF CERVICAL SYMPATHETIC NERVES, SEQUELA",3,,3
S14.8XXA,"INJURY OF OTHER SPECIFIED NERVES OF NECK, INITIAL ENCOUNTER",20,2,18
S14.8XXD,"INJURY OF OTHER SPECIFIED NERVES OF NECK, SUBS ENCNTR",3,,3
S14.8XXS,"INJURY OF OTHER SPECIFIED NERVES OF NECK, SEQUELA",6,,6
S14.9XXA,"INJURY OF UNSPECIFIED NERVES OF NECK, INITIAL ENCOUNTER",8,5,3
S14.9XXD,"INJURY OF UNSPECIFIED NERVES OF NECK, SUBSEQUENT ENCOUNTER",2,,2
S14.9XXS,"INJURY OF UNSPECIFIED NERVES OF NECK, SEQUELA",3,,3
S15.001A,"UNSPECIFIED INJURY OF RIGHT CAROTID ARTERY, INIT ENCNTR",11,2,9
S15.001D,"UNSPECIFIED INJURY OF RIGHT CAROTID ARTERY, SUBS ENCNTR",3,,3
S15.002A,"UNSPECIFIED INJURY OF LEFT CAROTID ARTERY, INITIAL ENCOUNTER",20,5,15
S15.002D,"UNSPECIFIED INJURY OF LEFT CAROTID ARTERY, SUBS ENCNTR",2,,2
S15.002S,"UNSPECIFIED INJURY OF LEFT CAROTID ARTERY, SEQUELA",1,,1
S15.009A,"UNSP INJURY OF UNSPECIFIED CAROTID ARTERY, INIT ENCNTR",3,,3
S15.009D,"UNSP INJURY OF UNSPECIFIED CAROTID ARTERY, SUBS ENCNTR",2,,2
S15.009S,"UNSPECIFIED INJURY OF UNSPECIFIED CAROTID ARTERY, SEQUELA",1,,1
S15.011A,"MINOR LACERATION OF RIGHT CAROTID ARTERY, INITIAL ENCOUNTER",13,8,5
S15.012A,"MINOR LACERATION OF LEFT CAROTID ARTERY, INITIAL ENCOUNTER",13,5,8
S15.021A,"MAJOR LACERATION OF RIGHT CAROTID ARTERY, INITIAL ENCOUNTER",8,5,3
S15.021D,"MAJOR LACERATION OF RIGHT CAROTID ARTERY, SUBS ENCNTR",1,1,
S15.022A,"MAJOR LACERATION OF LEFT CAROTID ARTERY, INITIAL ENCOUNTER",13,7,6
S15.091A,"OTHER SPECIFIED INJURY OF RIGHT CAROTID ARTERY, INIT ENCNTR",28,7,21
S15.091D,"OTHER SPECIFIED INJURY OF RIGHT CAROTID ARTERY, SUBS ENCNTR",7,,7
S15.091S,"OTHER SPECIFIED INJURY OF RIGHT CAROTID ARTERY, SEQUELA",1,,1
S15.092A,"OTHER SPECIFIED INJURY OF LEFT CAROTID ARTERY, INIT ENCNTR",17,5,12
S15.092D,"OTHER SPECIFIED INJURY OF LEFT CAROTID ARTERY, SUBS ENCNTR",4,,4
S15.099A,"OTH INJURY OF UNSPECIFIED CAROTID ARTERY, INIT ENCNTR",3,,3
S15.101A,"UNSPECIFIED INJURY OF RIGHT VERTEBRAL ARTERY, INIT ENCNTR",46,6,40
S15.101D,"UNSPECIFIED INJURY OF RIGHT VERTEBRAL ARTERY, SUBS ENCNTR",9,,9
S15.102A,"UNSPECIFIED INJURY OF LEFT VERTEBRAL ARTERY, INIT ENCNTR",52,3,49
S15.102D,"UNSPECIFIED INJURY OF LEFT VERTEBRAL ARTERY, SUBS ENCNTR",6,1,5
S15.102S,"UNSPECIFIED INJURY OF LEFT VERTEBRAL ARTERY, SEQUELA",3,,3
S15.109A,"UNSP INJURY OF UNSPECIFIED VERTEBRAL ARTERY, INIT ENCNTR",15,1,14
S15.109D,"UNSP INJURY OF UNSPECIFIED VERTEBRAL ARTERY, SUBS ENCNTR",2,,2
S15.109S,"UNSPECIFIED INJURY OF UNSPECIFIED VERTEBRAL ARTERY, SEQUELA",1,,1
S15.111A,"MINOR LACERATION OF RIGHT VERTEBRAL ARTERY, INIT ENCNTR",15,1,14
S15.111D,"MINOR LACERATION OF RIGHT VERTEBRAL ARTERY, SUBS ENCNTR",3,,3
S15.112A,"MINOR LACERATION OF LEFT VERTEBRAL ARTERY, INITIAL ENCOUNTER",18,1,17
S15.119A,"MINOR LACERATION OF UNSP VERTEBRAL ARTERY, INIT ENCNTR",1,1,
S15.121A,"MAJOR LACERATION OF RIGHT VERTEBRAL ARTERY, INIT ENCNTR",10,1,9
S15.121D,"MAJOR LACERATION OF RIGHT VERTEBRAL ARTERY, SUBS ENCNTR",2,,2
S15.122A,"MAJOR LACERATION OF LEFT VERTEBRAL ARTERY, INITIAL ENCOUNTER",5,2,3
S15.191A,"OTH INJURY OF RIGHT VERTEBRAL ARTERY, INIT ENCNTR",45,5,40
S15.191D,"OTH INJURY OF RIGHT VERTEBRAL ARTERY, SUBS ENCNTR",5,,5
S15.192A,"OTHER SPECIFIED INJURY OF LEFT VERTEBRAL ARTERY, INIT ENCNTR",51,5,46
S15.192D,"OTHER SPECIFIED INJURY OF LEFT VERTEBRAL ARTERY, SUBS ENCNTR",2,,2
S15.199A,"OTH INJURY OF UNSPECIFIED VERTEBRAL ARTERY, INIT ENCNTR",6,2,4
S15.199D,"OTH INJURY OF UNSPECIFIED VERTEBRAL ARTERY, SUBS ENCNTR",1,,1
S15.201A,"UNSP INJURY OF RIGHT EXTERNAL JUGULAR VEIN, INIT ENCNTR",1,1,
S15.202A,"UNSP INJURY OF LEFT EXTERNAL JUGULAR VEIN, INIT ENCNTR",5,3,2
S15.209A,"UNSP INJURY OF UNSP EXTERNAL JUGULAR VEIN, INIT ENCNTR",1,,1
S15.211A,"MINOR LACERATION OF RIGHT EXTERNAL JUGULAR VEIN, INIT ENCNTR",17,8,9
S15.212A,"MINOR LACERATION OF LEFT EXTERNAL JUGULAR VEIN, INIT ENCNTR",15,8,7
S15.219A,"MINOR LACERATION OF UNSP EXTERNAL JUGULAR VEIN, INIT ENCNTR",3,,3
S15.221A,"MAJOR LACERATION OF RIGHT EXTERNAL JUGULAR VEIN, INIT ENCNTR",9,6,3
S15.222A,"MAJOR LACERATION OF LEFT EXTERNAL JUGULAR VEIN, INIT ENCNTR",8,4,4
S15.222D,"MAJOR LACERATION OF LEFT EXTERNAL JUGULAR VEIN, SUBS ENCNTR",1,,1
S15.291A,"OTH INJURY OF RIGHT EXTERNAL JUGULAR VEIN, INIT ENCNTR",5,2,3
S15.292A,"OTH INJURY OF LEFT EXTERNAL JUGULAR VEIN, INIT ENCNTR",1,,1
S15.301A,"UNSP INJURY OF RIGHT INTERNAL JUGULAR VEIN, INIT ENCNTR",6,,6
S15.301D,"UNSP INJURY OF RIGHT INTERNAL JUGULAR VEIN, SUBS ENCNTR",1,,1
S15.302A,"UNSP INJURY OF LEFT INTERNAL JUGULAR VEIN, INIT ENCNTR",10,4,6
S15.311A,"MINOR LACERATION OF RIGHT INTERNAL JUGULAR VEIN, INIT ENCNTR",17,2,15
S15.312A,"MINOR LACERATION OF LEFT INTERNAL JUGULAR VEIN, INIT ENCNTR",16,6,10
S15.321A,"MAJOR LACERATION OF RIGHT INTERNAL JUGULAR VEIN, INIT ENCNTR",18,10,8
S15.321D,"MAJOR LACERATION OF RIGHT INTERNAL JUGULAR VEIN, SUBS ENCNTR",1,,1
S15.322A,"MAJOR LACERATION OF LEFT INTERNAL JUGULAR VEIN, INIT ENCNTR",14,6,8
S15.391A,"OTH INJURY OF RIGHT INTERNAL JUGULAR VEIN, INIT ENCNTR",5,,5
S15.392A,"OTH INJURY OF LEFT INTERNAL JUGULAR VEIN, INIT ENCNTR",6,,6
S15.8XXA,"INJURY OF OTH BLOOD VESSELS AT NECK LEVEL, INIT ENCNTR",20,5,15
S15.8XXD,"INJURY OF OTH BLOOD VESSELS AT NECK LEVEL, SUBS ENCNTR",1,,1
S15.9XXA,"INJURY OF UNSP BLOOD VESSEL AT NECK LEVEL, INIT ENCNTR",12,5,7
S15.9XXD,"INJURY OF UNSP BLOOD VESSEL AT NECK LEVEL, SUBS ENCNTR",1,,1
S16.1XXA,"STRAIN OF MUSCLE, FASCIA AND TENDON AT NECK LEVEL, INIT",1473,130,1343
S16.1XXD,"STRAIN OF MUSCLE, FASCIA AND TENDON AT NECK LEVEL, SUBS",65,3,62
S16.1XXS,"STRAIN OF MUSCLE, FASCIA AND TENDON AT NECK LEVEL, SEQUELA",10,,10
S16.2XXA,"LACERATION OF MUSCLE, FASCIA AND TENDON AT NECK LEVEL, INIT",88,34,54
S16.8XXA,"INJ MUSCLE, FASCIA AND TENDON AT NECK LEVEL, INIT ENCNTR",8,1,7
S16.8XXS,"INJ MUSCLE, FASCIA AND TENDON AT NECK LEVEL, SEQUELA",1,,1
S16.9XXA,"UNSP INJURY OF MUSCLE, FASCIA AND TENDON AT NECK LEVEL, INIT",6,1,5
S16.9XXD,"UNSP INJURY OF MUSCLE, FASCIA AND TENDON AT NECK LEVEL, SUBS",1,,1
S17.0XXA,"CRUSHING INJURY OF LARYNX AND TRACHEA, INITIAL ENCOUNTER",3,2,1
S17.0XXS,"CRUSHING INJURY OF LARYNX AND TRACHEA, SEQUELA",1,,1
S17.8XXA,"CRUSHING INJURY OF OTH PARTS OF NECK, INIT ENCNTR",4,,4
S17.9XXA,"CRUSHING INJURY OF NECK, PART UNSPECIFIED, INITIAL ENCOUNTER",5,2,3
S17.9XXD,"CRUSHING INJURY OF NECK, PART UNSPECIFIED, SUBS ENCNTR",1,,1
S19.80XA,"OTH INJURIES OF UNSPECIFIED PART OF NECK, INIT ENCNTR",32,13,19
S19.80XD,"OTH INJURIES OF UNSPECIFIED PART OF NECK, SUBS ENCNTR",7,,7
S19.80XS,"OTH INJURIES OF UNSPECIFIED PART OF NECK, SEQUELA",5,,5
S19.81XA,"OTHER SPECIFIED INJURIES OF LARYNX, INITIAL ENCOUNTER",26,6,20
S19.81XD,"OTHER SPECIFIED INJURIES OF LARYNX, SUBSEQUENT ENCOUNTER",5,,5
S19.81XS,"OTHER SPECIFIED INJURIES OF LARYNX, SEQUELA",2,,2
S19.82XA,"OTHER SPECIFIED INJURIES OF CERVICAL TRACHEA, INIT ENCNTR",9,2,7
S19.82XD,"OTHER SPECIFIED INJURIES OF CERVICAL TRACHEA, SUBS ENCNTR",1,,1
S19.82XS,"OTHER SPECIFIED INJURIES OF CERVICAL TRACHEA, SEQUELA",1,,1
S19.83XA,"OTHER SPECIFIED INJURIES OF VOCAL CORD, INITIAL ENCOUNTER",23,,23
S19.83XD,"OTHER SPECIFIED INJURIES OF VOCAL CORD, SUBSEQUENT ENCOUNTER",5,,5
S19.83XS,"OTHER SPECIFIED INJURIES OF VOCAL CORD, SEQUELA",4,,4
S19.84XA,"OTHER SPECIFIED INJURIES OF THYROID GLAND, INITIAL ENCOUNTER",10,2,8
S19.85XA,"OTH INJURIES OF PHARYNX AND CERVICAL ESOPHAGUS, INIT ENCNTR",29,3,26
S19.89XA,"OTH INJURIES OF OTHER SPECIFIED PART OF NECK, INIT ENCNTR",58,14,44
S19.89XD,"OTH INJURIES OF OTHER SPECIFIED PART OF NECK, SUBS ENCNTR",8,2,6
S19.89XS,"OTH INJURIES OF OTHER SPECIFIED PART OF NECK, SEQUELA",2,,2
S19.9XXA,"UNSPECIFIED INJURY OF NECK, INITIAL ENCOUNTER",257,31,226
S19.9XXD,"UNSPECIFIED INJURY OF NECK, SUBSEQUENT ENCOUNTER",25,2,23
S19.9XXS,"UNSPECIFIED INJURY OF NECK, SEQUELA",14,,14
S20.00XA,"CONTUSION OF BREAST, UNSPECIFIED BREAST, INITIAL ENCOUNTER",9,,9
S20.01XA,"CONTUSION OF RIGHT BREAST, INITIAL ENCOUNTER",139,16,123
S20.01XD,"CONTUSION OF RIGHT BREAST, SUBSEQUENT ENCOUNTER",7,,7
S20.02XA,"CONTUSION OF LEFT BREAST, INITIAL ENCOUNTER",121,15,106
S20.02XD,"CONTUSION OF LEFT BREAST, SUBSEQUENT ENCOUNTER",5,,5
S20.02XS,"CONTUSION OF LEFT BREAST, SEQUELA",1,,1
S20.101A,"UNSP SUPERFICIAL INJURIES OF BREAST, RIGHT BREAST, INIT",4,,4
S20.102A,"UNSP SUPERFICIAL INJURIES OF BREAST, LEFT BREAST, INIT",3,,3
S20.109A,"UNSP SUPERFICIAL INJURIES OF BREAST, UNSP BREAST, INIT",1,,1
S20.111A,"ABRASION OF BREAST, RIGHT BREAST, INITIAL ENCOUNTER",23,,23
S20.111D,"ABRASION OF BREAST, RIGHT BREAST, SUBSEQUENT ENCOUNTER",5,,5
S20.112A,"ABRASION OF BREAST, LEFT BREAST, INITIAL ENCOUNTER",33,,33
S20.112D,"ABRASION OF BREAST, LEFT BREAST, SUBSEQUENT ENCOUNTER",3,,3
S20.119A,"ABRASION OF BREAST, UNSPECIFIED BREAST, INITIAL ENCOUNTER",2,,2
S20.119D,"ABRASION OF BREAST, UNSPECIFIED BREAST, SUBSEQUENT ENCOUNTER",1,,1
S20.121A,"BLISTER (NONTHERMAL) OF BREAST, RIGHT BREAST, INIT ENCNTR",9,1,8
S20.122A,"BLISTER (NONTHERMAL) OF BREAST, LEFT BREAST, INIT ENCNTR",6,,6
S20.122D,"BLISTER (NONTHERMAL) OF BREAST, LEFT BREAST, SUBS ENCNTR",1,,1
S20.129A,"BLISTER (NONTHERMAL) OF BREAST, UNSP BREAST, INIT ENCNTR",1,,1
S20.152A,"SUPERFICIAL FOREIGN BODY OF BREAST, LEFT BREAST, INIT ENCNTR",1,,1
S20.161A,"INSECT BITE (NONVENOMOUS) OF BREAST, RIGHT BREAST, INIT",1,,1
S20.162A,"INSECT BITE (NONVENOMOUS) OF BREAST, LEFT BREAST, INIT",1,,1
S20.162D,"INSECT BITE (NONVENOMOUS) OF BREAST, LEFT BREAST, SUBS",2,,2
S20.169A,"INSECT BITE (NONVENOMOUS) OF BREAST, UNSP BREAST, INIT",1,,1
S20.171A,"OTHER SUPERFICIAL BITE OF BREAST, RIGHT BREAST, INIT ENCNTR",1,,1
S20.20XA,"CONTUSION OF THORAX, UNSPECIFIED, INITIAL ENCOUNTER",614,36,578
S20.20XD,"CONTUSION OF THORAX, UNSPECIFIED, SUBSEQUENT ENCOUNTER",31,1,30
S20.20XS,"CONTUSION OF THORAX, UNSPECIFIED, SEQUELA",2,,2
S20.211A,"CONTUSION OF RIGHT FRONT WALL OF THORAX, INITIAL ENCOUNTER",1081,111,970
S20.211D,"CONTUSION OF RIGHT FRONT WALL OF THORAX, SUBS ENCNTR",44,4,40
S20.211S,"CONTUSION OF RIGHT FRONT WALL OF THORAX, SEQUELA",1,,1
S20.212A,"CONTUSION OF LEFT FRONT WALL OF THORAX, INITIAL ENCOUNTER",1214,126,1088
S20.212D,"CONTUSION OF LEFT FRONT WALL OF THORAX, SUBSEQUENT ENCOUNTER",50,4,46
S20.212S,"CONTUSION OF LEFT FRONT WALL OF THORAX, SEQUELA",2,,2
S20.219A,"CONTUSION OF UNSPECIFIED FRONT WALL OF THORAX, INIT ENCNTR",1661,167,1494
S20.219D,"CONTUSION OF UNSPECIFIED FRONT WALL OF THORAX, SUBS ENCNTR",85,3,82
S20.221A,"CONTUSION OF RIGHT BACK WALL OF THORAX, INITIAL ENCOUNTER",121,6,115
S20.221D,"CONTUSION OF RIGHT BACK WALL OF THORAX, SUBSEQUENT ENCOUNTER",4,,4
S20.221S,"CONTUSION OF RIGHT BACK WALL OF THORAX, SEQUELA",1,,1
S20.222A,"CONTUSION OF LEFT BACK WALL OF THORAX, INITIAL ENCOUNTER",112,4,108
S20.222D,"CONTUSION OF LEFT BACK WALL OF THORAX, SUBSEQUENT ENCOUNTER",6,,6
S20.229A,"CONTUSION OF UNSPECIFIED BACK WALL OF THORAX, INIT ENCNTR",392,14,378
S20.229D,"CONTUSION OF UNSPECIFIED BACK WALL OF THORAX, SUBS ENCNTR",10,,10
S20.301A,"UNSP SUPERFICIAL INJURIES OF R FRNT WL OF THORAX, INIT",5,,5
S20.301D,"UNSP SUPERFICIAL INJURIES OF R FRNT WL OF THORAX, SUBS",2,,2
S20.302A,"UNSP SUPERFICIAL INJURIES OF LEFT FRONT WALL OF THORAX, INIT",6,1,5
S20.302D,"UNSP SUPERFICIAL INJURIES OF LEFT FRONT WALL OF THORAX, SUBS",2,,2
S20.309A,"UNSP SUPERFICIAL INJURIES OF UNSP FRONT WALL OF THORAX, INIT",10,1,9
S20.309D,"UNSP SUPERFICIAL INJURIES OF UNSP FRONT WALL OF THORAX, SUBS",2,,2
S20.311A,"ABRASION OF RIGHT FRONT WALL OF THORAX, INITIAL ENCOUNTER",321,7,314
S20.311D,"ABRASION OF RIGHT FRONT WALL OF THORAX, SUBSEQUENT ENCOUNTER",7,,7
S20.311S,"ABRASION OF RIGHT FRONT WALL OF THORAX, SEQUELA",1,,1
S20.312A,"ABRASION OF LEFT FRONT WALL OF THORAX, INITIAL ENCOUNTER",372,16,356
S20.312D,"ABRASION OF LEFT FRONT WALL OF THORAX, SUBSEQUENT ENCOUNTER",10,,10
S20.312S,"ABRASION OF LEFT FRONT WALL OF THORAX, SEQUELA",2,,2
S20.319A,"ABRASION OF UNSPECIFIED FRONT WALL OF THORAX, INIT ENCNTR",421,7,414
S20.319D,"ABRASION OF UNSPECIFIED FRONT WALL OF THORAX, SUBS ENCNTR",9,,9
S20.321A,"BLISTER (NONTHERMAL) OF RIGHT FRONT WALL OF THORAX, INIT",5,,5
S20.322A,"BLISTER (NONTHERMAL) OF LEFT FRONT WALL OF THORAX, INIT",5,,5
S20.329A,"BLISTER (NONTHERMAL) OF UNSP FRONT WALL OF THORAX, INIT",3,,3
S20.351A,"SUPERFICIAL FOREIGN BODY OF RIGHT FRONT WALL OF THORAX, INIT",3,,3
S20.352A,"SUPERFICIAL FOREIGN BODY OF LEFT FRONT WALL OF THORAX, INIT",1,,1
S20.359A,"SUPERFICIAL FOREIGN BODY OF UNSP FRONT WALL OF THORAX, INIT",3,,3
S20.359D,"SUPERFICIAL FOREIGN BODY OF UNSP FRONT WALL OF THORAX, SUBS",1,,1
S20.361A,"INSECT BITE (NONVENOMOUS) OF R FRNT WL OF THORAX, INIT",4,,4
S20.362A,"INSECT BITE (NONVENOMOUS) OF LEFT FRONT WALL OF THORAX, INIT",4,,4
S20.369A,"INSECT BITE (NONVENOMOUS) OF UNSP FRONT WALL OF THORAX, INIT",7,,7
S20.369D,"INSECT BITE (NONVENOMOUS) OF UNSP FRONT WALL OF THORAX, SUBS",1,,1
S20.372A,"OTH SUPERFICIAL BITE OF LEFT FRONT WALL OF THORAX, INIT",1,1,
S20.372D,"OTH SUPERFICIAL BITE OF LEFT FRONT WALL OF THORAX, SUBS",1,,1
S20.401A,"UNSP SUPERFICIAL INJURIES OF RIGHT BACK WALL OF THORAX, INIT",1,,1
S20.402A,"UNSP SUPERFICIAL INJURIES OF LEFT BACK WALL OF THORAX, INIT",2,,2
S20.409A,"UNSP SUPERFICIAL INJURIES OF UNSP BACK WALL OF THORAX, INIT",1,,1
S20.411A,"ABRASION OF RIGHT BACK WALL OF THORAX, INITIAL ENCOUNTER",111,,111
S20.411D,"ABRASION OF RIGHT BACK WALL OF THORAX, SUBSEQUENT ENCOUNTER",1,,1
S20.412A,"ABRASION OF LEFT BACK WALL OF THORAX, INITIAL ENCOUNTER",141,,141
S20.412D,"ABRASION OF LEFT BACK WALL OF THORAX, SUBSEQUENT ENCOUNTER",4,,4
S20.419A,"ABRASION OF UNSPECIFIED BACK WALL OF THORAX, INIT ENCNTR",156,1,155
S20.419D,"ABRASION OF UNSPECIFIED BACK WALL OF THORAX, SUBS ENCNTR",14,,14
S20.421A,"BLISTER (NONTHERMAL) OF RIGHT BACK WALL OF THORAX, INIT",3,,3
S20.422A,"BLISTER (NONTHERMAL) OF LEFT BACK WALL OF THORAX, INIT",2,,2
S20.429A,"BLISTER (NONTHERMAL) OF UNSP BACK WALL OF THORAX, INIT",4,,4
S20.451A,"SUPERFICIAL FOREIGN BODY OF RIGHT BACK WALL OF THORAX, INIT",1,,1
S20.452A,"SUPERFICIAL FOREIGN BODY OF LEFT BACK WALL OF THORAX, INIT",1,,1
S20.459A,"SUPERFICIAL FOREIGN BODY OF UNSP BACK WALL OF THORAX, INIT",1,,1
S20.461A,"INSECT BITE (NONVENOMOUS) OF RIGHT BACK WALL OF THORAX, INIT",1,,1
S20.462A,"INSECT BITE (NONVENOMOUS) OF LEFT BACK WALL OF THORAX, INIT",6,1,5
S20.462D,"INSECT BITE (NONVENOMOUS) OF LEFT BACK WALL OF THORAX, SUBS",1,,1
S20.469A,"INSECT BITE (NONVENOMOUS) OF UNSP BACK WALL OF THORAX, INIT",22,2,20
S20.469D,"INSECT BITE (NONVENOMOUS) OF UNSP BACK WALL OF THORAX, SUBS",1,,1
S20.471A,"OTH SUPERFICIAL BITE OF RIGHT BACK WALL OF THORAX, INIT",2,,2
S20.479A,"OTH SUPERFICIAL BITE OF UNSP BACK WALL OF THORAX, INIT",1,,1
S20.90XA,"UNSP SUPERFICIAL INJURY OF UNSP PARTS OF THORAX, INIT ENCNTR",2,,2
S20.91XA,"ABRASION OF UNSPECIFIED PARTS OF THORAX, INITIAL ENCOUNTER",75,,75
S20.91XD,"ABRASION OF UNSPECIFIED PARTS OF THORAX, SUBS ENCNTR",3,,3
S20.96XA,"INSECT BITE (NONVENOMOUS) OF UNSP PARTS OF THORAX, INIT",2,,2
S21.001A,"UNSPECIFIED OPEN WOUND OF RIGHT BREAST, INITIAL ENCOUNTER",45,,45
S21.001D,"UNSPECIFIED OPEN WOUND OF RIGHT BREAST, SUBSEQUENT ENCOUNTER",7,,7
S21.001S,"UNSPECIFIED OPEN WOUND OF RIGHT BREAST, SEQUELA",1,,1
S21.002A,"UNSPECIFIED OPEN WOUND OF LEFT BREAST, INITIAL ENCOUNTER",37,3,34
S21.009A,"UNSPECIFIED OPEN WOUND OF UNSPECIFIED BREAST, INIT ENCNTR",4,,4
S21.011A,"LACERATION WITHOUT FOREIGN BODY OF RIGHT BREAST, INIT ENCNTR",21,1,20
S21.011D,"LACERATION WITHOUT FOREIGN BODY OF RIGHT BREAST, SUBS ENCNTR",3,,3
S21.012A,"LACERATION WITHOUT FOREIGN BODY OF LEFT BREAST, INIT ENCNTR",23,5,18
S21.012D,"LACERATION WITHOUT FOREIGN BODY OF LEFT BREAST, SUBS ENCNTR",5,,5
S21.021A,"LACERATION WITH FOREIGN BODY OF RIGHT BREAST, INIT ENCNTR",1,,1
S21.022A,"LACERATION WITH FOREIGN BODY OF LEFT BREAST, INIT ENCNTR",3,1,2
S21.022D,"LACERATION WITH FOREIGN BODY OF LEFT BREAST, SUBS ENCNTR",1,,1
S21.032A,"PUNCTURE WOUND W/O FOREIGN BODY OF LEFT BREAST, INIT ENCNTR",2,,2
S21.032D,"PUNCTURE WOUND W/O FOREIGN BODY OF LEFT BREAST, SUBS ENCNTR",2,,2
S21.041A,"PUNCTURE WOUND W FOREIGN BODY OF RIGHT BREAST, INIT ENCNTR",6,1,5
S21.041S,"PUNCTURE WOUND WITH FOREIGN BODY OF RIGHT BREAST, SEQUELA",1,,1
S21.042A,"PUNCTURE WOUND WITH FOREIGN BODY OF LEFT BREAST, INIT ENCNTR",2,1,1
S21.042S,"PUNCTURE WOUND WITH FOREIGN BODY OF LEFT BREAST, SEQUELA",1,,1
S21.101A,"UNSP OPN WND R FRNT WL OF THORAX W/O PENET THOR CAVITY, INIT",65,10,55
S21.101D,"UNSP OPN WND R FRNT WL OF THORAX W/O PENET THOR CAVITY, SUBS",1,,1
S21.102A,"UNSP OPN WND L FRNT WL OF THORAX W/O PENET THOR CAVITY, INIT",56,10,46
S21.102D,"UNSP OPN WND L FRNT WL OF THORAX W/O PENET THOR CAVITY, SUBS",8,1,7
S21.102S,"UNSP OPN WND L FRNT WL OF THORAX W/O PENET THOR CAVITY, SQLA",2,,2
S21.109A,"UNSP OPN WND UNSP FRNT WALL OF THRX W/O PENET THOR CAV, INIT",56,2,54
S21.109D,"UNSP OPN WND UNSP FRNT WALL OF THRX W/O PENET THOR CAV, SUBS",8,1,7
S21.109S,"UNSP OPN WND UNSP FRNT WALL OF THRX W/O PENET THOR CAV, SQLA",4,,4
S21.111A,"LAC W/O FB OF R FRNT WL OF THORAX W/O PENET THOR CAV, INIT",192,35,157
S21.111D,"LAC W/O FB OF R FRNT WL OF THORAX W/O PENET THOR CAV, SUBS",4,,4
S21.112A,"LAC W/O FB OF L FRNT WL OF THORAX W/O PENET THOR CAV, INIT",343,74,269
S21.112D,"LAC W/O FB OF L FRNT WL OF THORAX W/O PENET THOR CAV, SUBS",17,2,15
S21.112S,"LAC W/O FB OF L FRNT WL OF THORAX W/O PENET THOR CAV, SQLA",1,,1
S21.119A,"LAC W/O FB OF UNSP FRNT WL OF THRX W/O PENET THOR CAV, INIT",110,16,94
S21.119D,"LAC W/O FB OF UNSP FRNT WL OF THRX W/O PENET THOR CAV, SUBS",18,,18
S21.119S,"LAC W/O FB OF UNSP FRNT WL OF THRX W/O PENET THOR CAV, SQLA",1,,1
S21.121A,"LAC W FB OF R FRNT WL OF THORAX W/O PENET THOR CAVITY, INIT",8,3,5
