ProcedureCode,ProcedureDesc,TotalProc,PrimaryProc,SecondProc
0QPYX0Z,"REMOVAL OF DRAINAGE DEVICE FROM LOWER BONE, EXTERN APPROACH",2,,2
0QQ00ZZ,"REPAIR LUMBAR VERTEBRA, OPEN APPROACH",26,3,23
0QQ10ZZ,"REPAIR SACRUM, OPEN APPROACH",12,,12
0QQ13ZZ,"REPAIR SACRUM, PERCUTANEOUS APPROACH",2,2,
0QQ20ZZ,"REPAIR RIGHT PELVIC BONE, OPEN APPROACH",9,3,6
0QQ30ZZ,"REPAIR LEFT PELVIC BONE, OPEN APPROACH",8,,8
0QQ40ZZ,"REPAIR RIGHT ACETABULUM, OPEN APPROACH",2,,2
0QQ44ZZ,"REPAIR RIGHT ACETABULUM, PERCUTANEOUS ENDOSCOPIC APPROACH",6,,6
0QQ50ZZ,"REPAIR LEFT ACETABULUM, OPEN APPROACH",3,1,2
0QQ53ZZ,"REPAIR LEFT ACETABULUM, PERCUTANEOUS APPROACH",1,1,
0QQ54ZZ,"REPAIR LEFT ACETABULUM, PERCUTANEOUS ENDOSCOPIC APPROACH",5,1,4
0QQ60ZZ,"REPAIR RIGHT UPPER FEMUR, OPEN APPROACH",4,2,2
0QQ63ZZ,"REPAIR RIGHT UPPER FEMUR, PERCUTANEOUS APPROACH",1,1,
0QQ70ZZ,"REPAIR LEFT UPPER FEMUR, OPEN APPROACH",5,1,4
0QQ73ZZ,"REPAIR LEFT UPPER FEMUR, PERCUTANEOUS APPROACH",1,1,
0QQ93ZZ,"REPAIR LEFT FEMORAL SHAFT, PERCUTANEOUS APPROACH",1,,1
0QQB0ZZ,"REPAIR RIGHT LOWER FEMUR, OPEN APPROACH",6,2,4
0QQB3ZZ,"REPAIR RIGHT LOWER FEMUR, PERCUTANEOUS APPROACH",2,2,
0QQC0ZZ,"REPAIR LEFT LOWER FEMUR, OPEN APPROACH",7,4,3
0QQD0ZZ,"REPAIR RIGHT PATELLA, OPEN APPROACH",53,2,51
0QQF0ZZ,"REPAIR LEFT PATELLA, OPEN APPROACH",55,5,50
0QQG0ZZ,"REPAIR RIGHT TIBIA, OPEN APPROACH",5,1,4
0QQG3ZZ,"REPAIR RIGHT TIBIA, PERCUTANEOUS APPROACH",1,,1
0QQH0ZZ,"REPAIR LEFT TIBIA, OPEN APPROACH",7,1,6
0QQH3ZZ,"REPAIR LEFT TIBIA, PERCUTANEOUS APPROACH",1,1,
0QQHXZZ,"REPAIR LEFT TIBIA, EXTERNAL APPROACH",1,,1
0QQK0ZZ,"REPAIR LEFT FIBULA, OPEN APPROACH",1,,1
0QQM4ZZ,"REPAIR LEFT TARSAL, PERCUTANEOUS ENDOSCOPIC APPROACH",2,,2
0QQN0ZZ,"REPAIR RIGHT METATARSAL, OPEN APPROACH",1,,1
0QQP0ZZ,"REPAIR LEFT METATARSAL, OPEN APPROACH",2,1,1
0QQR0ZZ,"REPAIR LEFT TOE PHALANX, OPEN APPROACH",1,,1
0QR007Z,"REPLACEMENT OF LUMBAR VERTEBRA WITH AUTOL SUB, OPEN APPROACH",11,,11
0QR00JZ,"REPLACEMENT OF LUMBAR VERTEBRA WITH SYNTH SUB, OPEN APPROACH",6,3,3
0QR00KZ,"REPLACEMENT OF LUM VERTEBRA WITH NONAUT SUB, OPEN APPROACH",9,,9
0QR107Z,"REPLACEMENT OF SACRUM WITH AUTOL SUB, OPEN APPROACH",1,,1
0QR10JZ,"REPLACEMENT OF SACRUM WITH SYNTH SUB, OPEN APPROACH",1,,1
0QR10KZ,"REPLACEMENT OF SACRUM WITH NONAUT SUB, OPEN APPROACH",5,,5
0QR207Z,"REPLACEMENT OF R PELVIC BONE WITH AUTOL SUB, OPEN APPROACH",5,,5
0QR20JZ,"REPLACEMENT OF R PELVIC BONE WITH SYNTH SUB, OPEN APPROACH",4,1,3
0QR20KZ,"REPLACEMENT OF R PELVIC BONE WITH NONAUT SUB, OPEN APPROACH",3,,3
0QR307Z,"REPLACEMENT OF L PELVIC BONE WITH AUTOL SUB, OPEN APPROACH",9,,9
0QR30JZ,"REPLACEMENT OF L PELVIC BONE WITH SYNTH SUB, OPEN APPROACH",5,,5
0QR407Z,"REPLACEMENT OF R ACETABULUM WITH AUTOL SUB, OPEN APPROACH",10,,10
0QR40JZ,"REPLACEMENT OF R ACETABULUM WITH SYNTH SUB, OPEN APPROACH",3,,3
0QR40KZ,"REPLACEMENT OF R ACETABULUM WITH NONAUT SUB, OPEN APPROACH",7,,7
0QR507Z,"REPLACEMENT OF LEFT ACETABULUM WITH AUTOL SUB, OPEN APPROACH",18,1,17
0QR50JZ,"REPLACEMENT OF LEFT ACETABULUM WITH SYNTH SUB, OPEN APPROACH",3,1,2
0QR50KZ,"REPLACEMENT OF L ACETABULUM WITH NONAUT SUB, OPEN APPROACH",7,,7
0QR607Z,"REPLACEMENT OF R UP FEMUR WITH AUTOL SUB, OPEN APPROACH",15,,15
0QR60JZ,"REPLACEMENT OF R UP FEMUR WITH SYNTH SUB, OPEN APPROACH",22,9,13
0QR60KZ,"REPLACEMENT OF R UP FEMUR WITH NONAUT SUB, OPEN APPROACH",13,3,10
0QR637Z,"REPLACEMENT OF R UP FEMUR WITH AUTOL SUB, PERC APPROACH",1,,1
0QR707Z,"REPLACEMENT OF L UP FEMUR WITH AUTOL SUB, OPEN APPROACH",14,1,13
0QR70JZ,"REPLACEMENT OF L UP FEMUR WITH SYNTH SUB, OPEN APPROACH",24,13,11
0QR70KZ,"REPLACEMENT OF L UP FEMUR WITH NONAUT SUB, OPEN APPROACH",11,4,7
0QR737Z,"REPLACEMENT OF L UP FEMUR WITH AUTOL SUB, PERC APPROACH",1,,1
0QR807Z,"REPLACEMENT OF R FEMUR SHAFT WITH AUTOL SUB, OPEN APPROACH",9,5,4
0QR80JZ,"REPLACEMENT OF R FEMUR SHAFT WITH SYNTH SUB, OPEN APPROACH",8,1,7
0QR80KZ,"REPLACEMENT OF R FEMUR SHAFT WITH NONAUT SUB, OPEN APPROACH",3,,3
0QR84JZ,"REPLACE OF R FEMUR SHAFT WITH SYNTH SUB, PERC ENDO APPROACH",1,1,
0QR907Z,"REPLACEMENT OF L FEMUR SHAFT WITH AUTOL SUB, OPEN APPROACH",10,3,7
0QR90JZ,"REPLACEMENT OF L FEMUR SHAFT WITH SYNTH SUB, OPEN APPROACH",4,1,3
0QR90KZ,"REPLACEMENT OF L FEMUR SHAFT WITH NONAUT SUB, OPEN APPROACH",3,,3
0QR93KZ,"REPLACEMENT OF L FEMUR SHAFT WITH NONAUT SUB, PERC APPROACH",1,1,
0QRB07Z,"REPLACEMENT OF R LOW FEMUR WITH AUTOL SUB, OPEN APPROACH",20,4,16
0QRB0JZ,"REPLACEMENT OF R LOW FEMUR WITH SYNTH SUB, OPEN APPROACH",23,9,14
0QRB0KZ,"REPLACEMENT OF R LOW FEMUR WITH NONAUT SUB, OPEN APPROACH",11,4,7
0QRC07Z,"REPLACEMENT OF L LOW FEMUR WITH AUTOL SUB, OPEN APPROACH",17,1,16
0QRC0JZ,"REPLACEMENT OF L LOW FEMUR WITH SYNTH SUB, OPEN APPROACH",23,7,16
0QRC0KZ,"REPLACEMENT OF L LOW FEMUR WITH NONAUT SUB, OPEN APPROACH",10,1,9
0QRC47Z,"REPLACE OF L LOW FEMUR WITH AUTOL SUB, PERC ENDO APPROACH",1,,1
0QRD07Z,"REPLACEMENT OF RIGHT PATELLA WITH AUTOL SUB, OPEN APPROACH",6,1,5
0QRD0JZ,"REPLACEMENT OF RIGHT PATELLA WITH SYNTH SUB, OPEN APPROACH",52,9,43
0QRD0KZ,"REPLACEMENT OF RIGHT PATELLA WITH NONAUT SUB, OPEN APPROACH",3,1,2
0QRF0JZ,"REPLACEMENT OF LEFT PATELLA WITH SYNTH SUB, OPEN APPROACH",57,5,52
0QRF0KZ,"REPLACEMENT OF LEFT PATELLA WITH NONAUT SUB, OPEN APPROACH",2,1,1
0QRG07Z,"REPLACEMENT OF RIGHT TIBIA WITH AUTOL SUB, OPEN APPROACH",29,15,14
0QRG0JZ,"REPLACEMENT OF RIGHT TIBIA WITH SYNTH SUB, OPEN APPROACH",17,1,16
0QRG0KZ,"REPLACEMENT OF RIGHT TIBIA WITH NONAUT SUB, OPEN APPROACH",28,6,22
0QRG3KZ,"REPLACEMENT OF RIGHT TIBIA WITH NONAUT SUB, PERC APPROACH",1,,1
0QRG4KZ,"REPLACEMENT OF R TIBIA WITH NONAUT SUB, PERC ENDO APPROACH",1,,1
0QRH07Z,"REPLACEMENT OF LEFT TIBIA WITH AUTOL SUB, OPEN APPROACH",40,11,29
0QRH0JZ,"REPLACEMENT OF LEFT TIBIA WITH SYNTH SUB, OPEN APPROACH",14,3,11
0QRH0KZ,"REPLACEMENT OF LEFT TIBIA WITH NONAUT SUB, OPEN APPROACH",23,2,21
0QRJ07Z,"REPLACEMENT OF RIGHT FIBULA WITH AUTOL SUB, OPEN APPROACH",2,,2
0QRJ0JZ,"REPLACEMENT OF RIGHT FIBULA WITH SYNTH SUB, OPEN APPROACH",1,,1
0QRJ0KZ,"REPLACEMENT OF RIGHT FIBULA WITH NONAUT SUB, OPEN APPROACH",2,,2
0QRJ3JZ,"REPLACEMENT OF RIGHT FIBULA WITH SYNTH SUB, PERC APPROACH",1,,1
0QRK07Z,"REPLACEMENT OF LEFT FIBULA WITH AUTOL SUB, OPEN APPROACH",6,,6
0QRK0JZ,"REPLACEMENT OF LEFT FIBULA WITH SYNTH SUB, OPEN APPROACH",4,,4
0QRK0KZ,"REPLACEMENT OF LEFT FIBULA WITH NONAUT SUB, OPEN APPROACH",5,1,4
0QRL07Z,"REPLACEMENT OF RIGHT TARSAL WITH AUTOL SUB, OPEN APPROACH",9,1,8
0QRL0JZ,"REPLACEMENT OF RIGHT TARSAL WITH SYNTH SUB, OPEN APPROACH",4,,4
0QRL0KZ,"REPLACEMENT OF RIGHT TARSAL WITH NONAUT SUB, OPEN APPROACH",10,,10
0QRM07Z,"REPLACEMENT OF LEFT TARSAL WITH AUTOL SUB, OPEN APPROACH",11,1,10
0QRM0JZ,"REPLACEMENT OF LEFT TARSAL WITH SYNTH SUB, OPEN APPROACH",2,1,1
0QRM0KZ,"REPLACEMENT OF LEFT TARSAL WITH NONAUT SUB, OPEN APPROACH",8,1,7
0QRM37Z,"REPLACEMENT OF LEFT TARSAL WITH AUTOL SUB, PERC APPROACH",1,,1
0QRN07Z,"REPLACEMENT OF R METATARSAL WITH AUTOL SUB, OPEN APPROACH",1,,1
0QRN0JZ,"REPLACEMENT OF R METATARSAL WITH SYNTH SUB, OPEN APPROACH",1,,1
0QRN0KZ,"REPLACEMENT OF R METATARSAL WITH NONAUT SUB, OPEN APPROACH",4,,4
0QRP07Z,"REPLACEMENT OF LEFT METATARSAL WITH AUTOL SUB, OPEN APPROACH",1,,1
0QRP0KZ,"REPLACEMENT OF L METATARSAL WITH NONAUT SUB, OPEN APPROACH",2,,2
0QRR0KZ,"REPLACEMENT OF L TOE PHALANX WITH NONAUT SUB, OPEN APPROACH",1,,1
0QS004Z,"REPOSITION LUMBAR VERTEBRA WITH INT FIX, OPEN APPROACH",524,66,458
0QS00ZZ,"REPOSITION LUMBAR VERTEBRA, OPEN APPROACH",195,13,182
0QS034Z,"REPOSITION LUMBAR VERTEBRA WITH INT FIX, PERC APPROACH",18,6,12
0QS03ZZ,"REPOSITION LUMBAR VERTEBRA, PERCUTANEOUS APPROACH",1410,978,432
0QS04ZZ,"REPOSITION LUMBAR VERTEBRA, PERCUTANEOUS ENDOSCOPIC APPROACH",2,,2
0QS0XZZ,"REPOSITION LUMBAR VERTEBRA, EXTERNAL APPROACH",29,13,16
0QS104Z,"REPOSITION SACRUM WITH INT FIX, OPEN APPROACH",151,38,113
0QS10ZZ,"REPOSITION SACRUM, OPEN APPROACH",18,1,17
0QS134Z,"REPOSITION SACRUM WITH INT FIX, PERC APPROACH",281,111,170
0QS13ZZ,"REPOSITION SACRUM, PERCUTANEOUS APPROACH",41,22,19
0QS144Z,"REPOSITION SACRUM WITH INT FIX, PERC ENDO APPROACH",1,,1
0QS14ZZ,"REPOSITION SACRUM, PERCUTANEOUS ENDOSCOPIC APPROACH",1,,1
0QS1XZZ,"REPOSITION SACRUM, EXTERNAL APPROACH",31,9,22
0QS204Z,"REPOSITION RIGHT PELVIC BONE WITH INT FIX, OPEN APPROACH",435,131,304
0QS205Z,"REPOSITION RIGHT PELVIC BONE WITH EXT FIX, OPEN APPROACH",10,2,8
0QS20ZZ,"REPOSITION RIGHT PELVIC BONE, OPEN APPROACH",31,5,26
0QS234Z,"REPOSITION RIGHT PELVIC BONE WITH INT FIX, PERC APPROACH",171,38,133
0QS235Z,"REPOSITION RIGHT PELVIC BONE WITH EXT FIX, PERC APPROACH",70,14,56
0QS23ZZ,"REPOSITION RIGHT PELVIC BONE, PERCUTANEOUS APPROACH",1,,1
0QS245Z,"REPOSITION R PELVIC BONE WITH EXT FIX, PERC ENDO APPROACH",1,,1
0QS2XZZ,"REPOSITION RIGHT PELVIC BONE, EXTERNAL APPROACH",110,27,83
0QS304Z,"REPOSITION LEFT PELVIC BONE WITH INT FIX, OPEN APPROACH",427,169,258
0QS305Z,"REPOSITION LEFT PELVIC BONE WITH EXT FIX, OPEN APPROACH",11,3,8
0QS30ZZ,"REPOSITION LEFT PELVIC BONE, OPEN APPROACH",23,7,16
0QS334Z,"REPOSITION LEFT PELVIC BONE WITH INT FIX, PERC APPROACH",185,50,135
0QS335Z,"REPOSITION LEFT PELVIC BONE WITH EXT FIX, PERC APPROACH",70,11,59
0QS33ZZ,"REPOSITION LEFT PELVIC BONE, PERCUTANEOUS APPROACH",4,1,3
0QS344Z,"REPOSITION LEFT PELVIC BONE WITH INT FIX, PERC ENDO APPROACH",1,,1
0QS3XZZ,"REPOSITION LEFT PELVIC BONE, EXTERNAL APPROACH",120,39,81
0QS404Z,"REPOSITION RIGHT ACETABULUM WITH INT FIX, OPEN APPROACH",581,368,213
0QS40ZZ,"REPOSITION RIGHT ACETABULUM, OPEN APPROACH",19,7,12
0QS434Z,"REPOSITION RIGHT ACETABULUM WITH INT FIX, PERC APPROACH",30,13,17
0QS43ZZ,"REPOSITION RIGHT ACETABULUM, PERCUTANEOUS APPROACH",2,1,1
0QS444Z,"REPOSITION RIGHT ACETABULUM WITH INT FIX, PERC ENDO APPROACH",1,1,
0QS4XZZ,"REPOSITION RIGHT ACETABULUM, EXTERNAL APPROACH",76,24,52
0QS504Z,"REPOSITION LEFT ACETABULUM WITH INT FIX, OPEN APPROACH",505,294,211
0QS50ZZ,"REPOSITION LEFT ACETABULUM, OPEN APPROACH",19,4,15
0QS534Z,"REPOSITION LEFT ACETABULUM WITH INT FIX, PERC APPROACH",31,7,24
0QS53ZZ,"REPOSITION LEFT ACETABULUM, PERCUTANEOUS APPROACH",1,,1
0QS544Z,"REPOSITION LEFT ACETABULUM WITH INT FIX, PERC ENDO APPROACH",1,1,
0QS5XZZ,"REPOSITION LEFT ACETABULUM, EXTERNAL APPROACH",77,26,51
0QS604Z,"REPOSITION RIGHT UPPER FEMUR WITH INT FIX, OPEN APPROACH",3099,2558,541
0QS605Z,"REPOSITION RIGHT UPPER FEMUR WITH EXT FIX, OPEN APPROACH",5,1,4
0QS606Z,"REPOSITION R UP FEMUR WITH INTRAMED FIX, OPEN APPROACH",3036,2911,125
0QS60ZZ,"REPOSITION RIGHT UPPER FEMUR, OPEN APPROACH",30,11,19
0QS634Z,"REPOSITION RIGHT UPPER FEMUR WITH INT FIX, PERC APPROACH",1124,1085,39
0QS635Z,"REPOSITION RIGHT UPPER FEMUR WITH EXT FIX, PERC APPROACH",16,10,6
0QS636Z,"REPOSITION R UP FEMUR WITH INTRAMED FIX, PERC APPROACH",2003,1946,57
0QS63DZ,"REPOSITION R UP FEMUR WITH HYBRID EXT FIX, PERC APPROACH",1,,1
0QS63ZZ,"REPOSITION RIGHT UPPER FEMUR, PERCUTANEOUS APPROACH",15,14,1
0QS644Z,"REPOSITION R UP FEMUR WITH INT FIX, PERC ENDO APPROACH",3,3,
0QS646Z,"REPOSITION R UP FEMUR WITH INTRAMED FIX, PERC ENDO APPROACH",10,10,
0QS6XZZ,"REPOSITION RIGHT UPPER FEMUR, EXTERNAL APPROACH",199,64,135
0QS704Z,"REPOSITION LEFT UPPER FEMUR WITH INT FIX, OPEN APPROACH",3177,2732,445
0QS705Z,"REPOSITION LEFT UPPER FEMUR WITH EXT FIX, OPEN APPROACH",6,2,4
0QS706Z,"REPOSITION LEFT UPPER FEMUR WITH INTRAMED FIX, OPEN APPROACH",3218,3089,129
0QS70ZZ,"REPOSITION LEFT UPPER FEMUR, OPEN APPROACH",27,10,17
0QS734Z,"REPOSITION LEFT UPPER FEMUR WITH INT FIX, PERC APPROACH",1166,1118,48
0QS735Z,"REPOSITION LEFT UPPER FEMUR WITH EXT FIX, PERC APPROACH",21,12,9
0QS736Z,"REPOSITION LEFT UPPER FEMUR WITH INTRAMED FIX, PERC APPROACH",2145,2073,72
0QS73BZ,"REPOSITION L UP FEMUR WITH MONOPLN EXT FIX, PERC APPROACH",1,1,
0QS73DZ,"REPOSITION L UP FEMUR WITH HYBRID EXT FIX, PERC APPROACH",1,,1
0QS73ZZ,"REPOSITION LEFT UPPER FEMUR, PERCUTANEOUS APPROACH",13,11,2
0QS744Z,"REPOSITION LEFT UPPER FEMUR WITH INT FIX, PERC ENDO APPROACH",4,4,
0QS746Z,"REPOSITION L UP FEMUR WITH INTRAMED FIX, PERC ENDO APPROACH",5,5,
0QS7XZZ,"REPOSITION LEFT UPPER FEMUR, EXTERNAL APPROACH",216,70,146
0QS804Z,"REPOSITION RIGHT FEMORAL SHAFT WITH INT FIX, OPEN APPROACH",562,442,120
0QS805Z,"REPOSITION RIGHT FEMORAL SHAFT WITH EXT FIX, OPEN APPROACH",7,1,6
0QS806Z,"REPOSITION R FEMUR SHAFT WITH INTRAMED FIX, OPEN APPROACH",709,590,119
0QS80BZ,"REPOSITION R FEMUR SHAFT WITH MONOPLN EXT FIX, OPEN APPROACH",1,1,
0QS80ZZ,"REPOSITION RIGHT FEMORAL SHAFT, OPEN APPROACH",11,7,4
0QS834Z,"REPOSITION RIGHT FEMORAL SHAFT WITH INT FIX, PERC APPROACH",45,37,8
0QS835Z,"REPOSITION RIGHT FEMORAL SHAFT WITH EXT FIX, PERC APPROACH",36,16,20
0QS836Z,"REPOSITION R FEMUR SHAFT WITH INTRAMED FIX, PERC APPROACH",395,344,51
0QS83BZ,"REPOSITION R FEMUR SHAFT WITH MONOPLN EXT FIX, PERC APPROACH",2,,2
0QS846Z,"REPOSITION R FEMUR SHAFT W INTRAMED FIX, PERC ENDO",2,2,
0QS8XZZ,"REPOSITION RIGHT FEMORAL SHAFT, EXTERNAL APPROACH",150,79,71
0QS904Z,"REPOSITION LEFT FEMORAL SHAFT WITH INT FIX, OPEN APPROACH",560,416,144
0QS905Z,"REPOSITION LEFT FEMORAL SHAFT WITH EXT FIX, OPEN APPROACH",12,8,4
0QS906Z,"REPOSITION L FEMUR SHAFT WITH INTRAMED FIX, OPEN APPROACH",686,594,92
0QS90BZ,"REPOSITION L FEMUR SHAFT WITH MONOPLN EXT FIX, OPEN APPROACH",1,,1
0QS90ZZ,"REPOSITION LEFT FEMORAL SHAFT, OPEN APPROACH",8,4,4
0QS934Z,"REPOSITION LEFT FEMORAL SHAFT WITH INT FIX, PERC APPROACH",57,49,8
0QS935Z,"REPOSITION LEFT FEMORAL SHAFT WITH EXT FIX, PERC APPROACH",29,5,24
0QS936Z,"REPOSITION L FEMUR SHAFT WITH INTRAMED FIX, PERC APPROACH",364,321,43
0QS93BZ,"REPOSITION L FEMUR SHAFT WITH MONOPLN EXT FIX, PERC APPROACH",4,3,1
0QS93DZ,"REPOSITION L FEMUR SHAFT WITH HYBRID EXT FIX, PERC APPROACH",1,,1
0QS93ZZ,"REPOSITION LEFT FEMORAL SHAFT, PERCUTANEOUS APPROACH",2,1,1
0QS944Z,"REPOSITION L FEMUR SHAFT WITH INT FIX, PERC ENDO APPROACH",1,1,
0QS9XZZ,"REPOSITION LEFT FEMORAL SHAFT, EXTERNAL APPROACH",156,83,73
0QSB04Z,"REPOSITION RIGHT LOWER FEMUR WITH INT FIX, OPEN APPROACH",1133,921,212
0QSB05Z,"REPOSITION RIGHT LOWER FEMUR WITH EXT FIX, OPEN APPROACH",15,8,7
0QSB06Z,"REPOSITION R LOW FEMUR WITH INTRAMED FIX, OPEN APPROACH",239,198,41
0QSB0CZ,"REPOSITION R LOW FEMUR WITH RING EXT FIX, OPEN APPROACH",2,2,
0QSB0ZZ,"REPOSITION RIGHT LOWER FEMUR, OPEN APPROACH",10,4,6
0QSB34Z,"REPOSITION RIGHT LOWER FEMUR WITH INT FIX, PERC APPROACH",61,44,17
0QSB35Z,"REPOSITION RIGHT LOWER FEMUR WITH EXT FIX, PERC APPROACH",30,8,22
0QSB36Z,"REPOSITION R LOW FEMUR WITH INTRAMED FIX, PERC APPROACH",101,88,13
0QSB3BZ,"REPOSITION R LOW FEMUR WITH MONOPLN EXT FIX, PERC APPROACH",1,,1
0QSB3CZ,"REPOSITION R LOW FEMUR WITH RING EXT FIX, PERC APPROACH",1,,1
0QSB3DZ,"REPOSITION R LOW FEMUR WITH HYBRID EXT FIX, PERC APPROACH",1,1,
0QSBXZZ,"REPOSITION RIGHT LOWER FEMUR, EXTERNAL APPROACH",80,36,44
0QSC04Z,"REPOSITION LEFT LOWER FEMUR WITH INT FIX, OPEN APPROACH",1111,900,211
0QSC05Z,"REPOSITION LEFT LOWER FEMUR WITH EXT FIX, OPEN APPROACH",20,4,16
0QSC06Z,"REPOSITION LEFT LOWER FEMUR WITH INTRAMED FIX, OPEN APPROACH",241,200,41
0QSC0BZ,"REPOSITION L LOW FEMUR WITH MONOPLN EXT FIX, OPEN APPROACH",1,1,
0QSC0ZZ,"REPOSITION LEFT LOWER FEMUR, OPEN APPROACH",16,8,8
0QSC34Z,"REPOSITION LEFT LOWER FEMUR WITH INT FIX, PERC APPROACH",60,50,10
0QSC35Z,"REPOSITION LEFT LOWER FEMUR WITH EXT FIX, PERC APPROACH",38,16,22
0QSC36Z,"REPOSITION LEFT LOWER FEMUR WITH INTRAMED FIX, PERC APPROACH",80,69,11
0QSC3BZ,"REPOSITION L LOW FEMUR WITH MONOPLN EXT FIX, PERC APPROACH",7,2,5
0QSC3ZZ,"REPOSITION LEFT LOWER FEMUR, PERCUTANEOUS APPROACH",2,,2
0QSCXZZ,"REPOSITION LEFT LOWER FEMUR, EXTERNAL APPROACH",88,26,62
0QSD04Z,"REPOSITION RIGHT PATELLA WITH INT FIX, OPEN APPROACH",445,333,112
0QSD05Z,"REPOSITION RIGHT PATELLA WITH EXT FIX, OPEN APPROACH",1,,1
0QSD0ZZ,"REPOSITION RIGHT PATELLA, OPEN APPROACH",51,5,46
0QSD34Z,"REPOSITION RIGHT PATELLA WITH INT FIX, PERC APPROACH",5,3,2
0QSD35Z,"REPOSITION RIGHT PATELLA WITH EXT FIX, PERC APPROACH",2,1,1
0QSD3ZZ,"REPOSITION RIGHT PATELLA, PERCUTANEOUS APPROACH",1,,1
0QSD4ZZ,"REPOSITION RIGHT PATELLA, PERCUTANEOUS ENDOSCOPIC APPROACH",1,,1
0QSDXZZ,"REPOSITION RIGHT PATELLA, EXTERNAL APPROACH",14,3,11
0QSF04Z,"REPOSITION LEFT PATELLA WITH INT FIX, OPEN APPROACH",508,376,132
0QSF05Z,"REPOSITION LEFT PATELLA WITH EXT FIX, OPEN APPROACH",1,,1
0QSF0ZZ,"REPOSITION LEFT PATELLA, OPEN APPROACH",69,8,61
0QSF34Z,"REPOSITION LEFT PATELLA WITH INT FIX, PERC APPROACH",2,,2
0QSF35Z,"REPOSITION LEFT PATELLA WITH EXT FIX, PERC APPROACH",6,1,5
0QSF44Z,"REPOSITION LEFT PATELLA WITH INT FIX, PERC ENDO APPROACH",2,,2
0QSF4ZZ,"REPOSITION LEFT PATELLA, PERCUTANEOUS ENDOSCOPIC APPROACH",1,,1
0QSFXZZ,"REPOSITION LEFT PATELLA, EXTERNAL APPROACH",22,9,13
0QSG04Z,"REPOSITION RIGHT TIBIA WITH INT FIX, OPEN APPROACH",4522,2458,2064
0QSG05Z,"REPOSITION RIGHT TIBIA WITH EXT FIX, OPEN APPROACH",142,67,75
0QSG06Z,"REPOSITION RIGHT TIBIA WITH INTRAMED FIX, OPEN APPROACH",1199,908,291
0QSG0BZ,"REPOSITION RIGHT TIBIA WITH MONOPLN EXT FIX, OPEN APPROACH",11,3,8
0QSG0CZ,"REPOSITION RIGHT TIBIA WITH RING EXT FIX, OPEN APPROACH",6,3,3
0QSG0DZ,"REPOSITION RIGHT TIBIA WITH HYBRID EXT FIX, OPEN APPROACH",3,1,2
0QSG0ZZ,"REPOSITION RIGHT TIBIA, OPEN APPROACH",47,11,36
0QSG34Z,"REPOSITION RIGHT TIBIA WITH INT FIX, PERC APPROACH",176,91,85
0QSG35Z,"REPOSITION RIGHT TIBIA WITH EXT FIX, PERC APPROACH",562,297,265
0QSG36Z,"REPOSITION RIGHT TIBIA WITH INTRAMED FIX, PERC APPROACH",435,335,100
0QSG3BZ,"REPOSITION RIGHT TIBIA WITH MONOPLN EXT FIX, PERC APPROACH",55,27,28
0QSG3CZ,"REPOSITION RIGHT TIBIA WITH RING EXT FIX, PERC APPROACH",10,3,7
0QSG3DZ,"REPOSITION RIGHT TIBIA WITH HYBRID EXT FIX, PERC APPROACH",11,7,4
0QSG3ZZ,"REPOSITION RIGHT TIBIA, PERCUTANEOUS APPROACH",11,5,6
0QSG44Z,"REPOSITION RIGHT TIBIA WITH INT FIX, PERC ENDO APPROACH",5,4,1
0QSG46Z,"REPOSITION RIGHT TIBIA WITH INTRAMED FIX, PERC ENDO APPROACH",1,1,
0QSG4BZ,"REPOSITION R TIBIA WITH MONOPLN EXT FIX, PERC ENDO APPROACH",1,,1
0QSG4ZZ,"REPOSITION RIGHT TIBIA, PERCUTANEOUS ENDOSCOPIC APPROACH",1,1,
0QSGXZZ,"REPOSITION RIGHT TIBIA, EXTERNAL APPROACH",1036,186,850
0QSH04Z,"REPOSITION LEFT TIBIA WITH INT FIX, OPEN APPROACH",4080,2381,1699
0QSH05Z,"REPOSITION LEFT TIBIA WITH EXT FIX, OPEN APPROACH",158,70,88
0QSH06Z,"REPOSITION LEFT TIBIA WITH INTRAMED FIX, OPEN APPROACH",1018,766,252
0QSH0BZ,"REPOSITION LEFT TIBIA WITH MONOPLN EXT FIX, OPEN APPROACH",10,4,6
0QSH0CZ,"REPOSITION LEFT TIBIA WITH RING EXT FIX, OPEN APPROACH",7,3,4
0QSH0DZ,"REPOSITION LEFT TIBIA WITH HYBRID EXT FIX, OPEN APPROACH",4,2,2
0QSH0ZZ,"REPOSITION LEFT TIBIA, OPEN APPROACH",31,5,26
0QSH34Z,"REPOSITION LEFT TIBIA WITH INT FIX, PERC APPROACH",178,91,87
0QSH35Z,"REPOSITION LEFT TIBIA WITH EXT FIX, PERC APPROACH",468,235,233
0QSH36Z,"REPOSITION LEFT TIBIA WITH INTRAMED FIX, PERC APPROACH",442,331,111
0QSH3BZ,"REPOSITION LEFT TIBIA WITH MONOPLN EXT FIX, PERC APPROACH",58,29,29
0QSH3CZ,"REPOSITION LEFT TIBIA WITH RING EXT FIX, PERC APPROACH",10,4,6
0QSH3DZ,"REPOSITION LEFT TIBIA WITH HYBRID EXT FIX, PERC APPROACH",5,1,4
0QSH3ZZ,"REPOSITION LEFT TIBIA, PERCUTANEOUS APPROACH",10,5,5
0QSH44Z,"REPOSITION LEFT TIBIA WITH INT FIX, PERC ENDO APPROACH",5,3,2
